artist,album,track_title,track_n,line,word
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,3,brought
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,3,life
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,4,wrong
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,5,dream
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,5,true
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,6,love
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,6,found
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,7,forever
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,7,thankful
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,7,baby
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,8,held
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,9,fall
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,11,strength
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,11,weak
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,12,voice
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,12,speak
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,13,eyes
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,15,lifted
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,15,reach
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,16,faith
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,16,believed
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,18,loved
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,19,wings
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,19,fly
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,20,touched
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,20,hand
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,20,touch
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,20,sky
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,21,lost
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,21,faith
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,22,star
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,22,reach
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,23,stood
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,23,stood
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,23,tall
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,24,love
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,25,grateful
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,25,day
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,27,true
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,28,blessed
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,28,loved
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,29,strength
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,29,weak
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,29,strength
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,30,voice
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,30,speak
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,31,eyes
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,33,lifted
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,33,reach
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,34,faith
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,34,believed
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,36,loved
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,38,tender
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,38,wind
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,38,carried
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,39,light
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,39,dark
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,39,shining
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,39,love
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,39,life
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,40,inspiration
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,41,lies
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,41,truth
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,42,world
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,43,strength
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,43,weak
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,43,strength
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,44,voice
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,44,speak
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,44,speak
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,45,eyes
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,47,lifted
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,47,reach
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,48,faith
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,48,believed
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,50,loved
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,51,strength
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,51,weak
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,52,voice
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,52,speak
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,52,voice
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,53,eyes
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,55,lifted
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,55,reach
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,56,faith
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,56,believed
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,58,loved
Céline Dion,All the Way... A Decade of Song,Because You Loved Me,4,61,loved
