track_title,track_n,line,word
Nothing Really Matters,6,20,begins
Nothing Really Matters,6,21,matters
Nothing Really Matters,6,22,love
Nothing Really Matters,6,25,matters
Nothing Really Matters,6,26,love
Nothing Really Matters,6,29,takes
Nothing Really Matters,6,29,past
Nothing Really Matters,6,30,future
Nothing Really Matters,6,31,makes
Nothing Really Matters,6,31,darkness
Nothing Really Matters,6,32,light
Nothing Really Matters,6,33,shelter
Nothing Really Matters,6,33,storm
Nothing Really Matters,6,34,comfort
Nothing Really Matters,6,34,arms
Nothing Really Matters,6,35,matters
Nothing Really Matters,6,36,love
Nothing Really Matters,6,39,matters
Nothing Really Matters,6,40,love
Nothing Really Matters,6,43,matters
Nothing Really Matters,6,44,love
Sky Fits Heaven,7,1,sky
Sky Fits Heaven,7,1,fits
Sky Fits Heaven,7,1,heaven
Sky Fits Heaven,7,1,fly
Sky Fits Heaven,7,2,prophet
Sky Fits Heaven,7,3,child
Sky Fits Heaven,7,3,fits
Sky Fits Heaven,7,3,mother
Sky Fits Heaven,7,3,hold
Sky Fits Heaven,7,3,baby
Sky Fits Heaven,7,3,tight
Sky Fits Heaven,7,4,future
Sky Fits Heaven,7,5,fate
Sky Fits Heaven,7,5,fits
Sky Fits Heaven,7,5,karma
Sky Fits Heaven,7,6,wise
Sky Fits Heaven,7,7,love
Sky Fits Heaven,7,7,fits
Sky Fits Heaven,7,7,virtue
Sky Fits Heaven,7,7,hold
Sky Fits Heaven,7,7,light
Sky Fits Heaven,7,8,future
Sky Fits Heaven,7,9,traveling
Sky Fits Heaven,7,9,road
Sky Fits Heaven,7,10,watching
Sky Fits Heaven,7,10,signs
Sky Fits Heaven,7,11,follow
Sky Fits Heaven,7,11,sun
Sky Fits Heaven,7,13,traveling
Sky Fits Heaven,7,13,road
Sky Fits Heaven,7,14,watching
Sky Fits Heaven,7,14,signs
Sky Fits Heaven,7,15,follow
Sky Fits Heaven,7,15,heart
Sky Fits Heaven,7,16,start
Sky Fits Heaven,7,17,traveling
Sky Fits Heaven,7,17,road
Sky Fits Heaven,7,18,watching
Sky Fits Heaven,7,18,signs
Sky Fits Heaven,7,19,traveling
Sky Fits Heaven,7,19,road
Sky Fits Heaven,7,20,watching
Sky Fits Heaven,7,20,signs
Sky Fits Heaven,7,21,traveling
Sky Fits Heaven,7,21,traveling
Sky Fits Heaven,7,22,watching
Sky Fits Heaven,7,22,signs
Sky Fits Heaven,7,23,hand
Sky Fits Heaven,7,23,fits
Sky Fits Heaven,7,23,giving
Sky Fits Heaven,7,24,gospel
Sky Fits Heaven,7,25,life
Sky Fits Heaven,7,25,fits
Sky Fits Heaven,7,25,living
Sky Fits Heaven,7,25,judgments
Sky Fits Heaven,7,26,future
Sky Fits Heaven,7,27,traveling
Sky Fits Heaven,7,27,road
Sky Fits Heaven,7,28,watching
Sky Fits Heaven,7,28,signs
Sky Fits Heaven,7,29,follow
Sky Fits Heaven,7,29,sun
Sky Fits Heaven,7,31,traveling
Sky Fits Heaven,7,31,road
Sky Fits Heaven,7,32,watching
Sky Fits Heaven,7,32,signs
Sky Fits Heaven,7,33,follow
Sky Fits Heaven,7,33,heart
Sky Fits Heaven,7,34,start
Sky Fits Heaven,7,35,traveling
Sky Fits Heaven,7,35,road
Sky Fits Heaven,7,36,watching
Sky Fits Heaven,7,36,signs
Sky Fits Heaven,7,37,traveling
Sky Fits Heaven,7,37,road
Sky Fits Heaven,7,38,watching
Sky Fits Heaven,7,38,signs
Sky Fits Heaven,7,39,traveling
Sky Fits Heaven,7,39,traveling
Sky Fits Heaven,7,40,watching
Sky Fits Heaven,7,40,signs
Shanti/Ashtangi,8,1,vunde
Shanti/Ashtangi,8,1,gurunam
Shanti/Ashtangi,8,1,caranaravinde
Shanti/Ashtangi,8,2,sandarsita
Shanti/Ashtangi,8,2,svatma
Shanti/Ashtangi,8,2,sukhavabodhe
Shanti/Ashtangi,8,3,nihsreyase
Shanti/Ashtangi,8,3,jangalikayamane
Shanti/Ashtangi,8,4,sansara
Shanti/Ashtangi,8,4,halahala
Shanti/Ashtangi,8,5,moha
Shanti/Ashtangi,8,5,santyai
Shanti/Ashtangi,8,6,hala
Shanti/Ashtangi,8,6,hala
Shanti/Ashtangi,8,7,abahu
Shanti/Ashtangi,8,7,purusakaram
Shanti/Ashtangi,8,8,sankah
Shanti/Ashtangi,8,8,cakrasi
Shanti/Ashtangi,8,9,ahahu
Shanti/Ashtangi,8,9,purusakaram
Shanti/Ashtangi,8,10,sankah
Shanti/Ashtangi,8,10,cakrasi
Shanti/Ashtangi,8,11,dharinam
Shanti/Ashtangi,8,11,ha
Shanti/Ashtangi,8,11,rinam
Shanti/Ashtangi,8,12,sahasra
Shanti/Ashtangi,8,12,hasra
Shanti/Ashtangi,8,12,sirasam
Shanti/Ashtangi,8,13,dharinam
Shanti/Ashtangi,8,13,ha
Shanti/Ashtangi,8,13,rinam
Shanti/Ashtangi,8,14,sahasra
Shanti/Ashtangi,8,14,hasra
Shanti/Ashtangi,8,14,sirasam
Shanti/Ashtangi,8,15,vande
Shanti/Ashtangi,8,16,om
Shanti/Ashtangi,8,16,shanti
Shanti/Ashtangi,8,17,om
Shanti/Ashtangi,8,17,shanti
Shanti/Ashtangi,8,18,shanti
Shanti/Ashtangi,8,18,shanti
Shanti/Ashtangi,8,19,shante
Shanti/Ashtangi,8,19,om
Shanti/Ashtangi,8,20,om
Shanti/Ashtangi,8,20,shanti
Shanti/Ashtangi,8,21,om
Shanti/Ashtangi,8,21,shanti
Shanti/Ashtangi,8,22,shanti
Shanti/Ashtangi,8,22,shanti
Shanti/Ashtangi,8,23,shante
Shanti/Ashtangi,8,23,om
Shanti/Ashtangi,8,24,vunde
Shanti/Ashtangi,8,24,gurunam
Shanti/Ashtangi,8,24,caranaravinde
Shanti/Ashtangi,8,25,sandarsita
Shanti/Ashtangi,8,25,svatma
Shanti/Ashtangi,8,25,sukhavabodhe
Shanti/Ashtangi,8,26,nihsreyase
Shanti/Ashtangi,8,26,jangalikayamane
Shanti/Ashtangi,8,27,sansara
Shanti/Ashtangi,8,27,halahala
Shanti/Ashtangi,8,28,moha
Shanti/Ashtangi,8,28,santyai
Shanti/Ashtangi,8,29,hala
Shanti/Ashtangi,8,29,hala
Shanti/Ashtangi,8,30,abahu
Shanti/Ashtangi,8,30,purusakaram
Shanti/Ashtangi,8,31,sankah
Shanti/Ashtangi,8,31,cakrasi
Shanti/Ashtangi,8,32,ahahu
Shanti/Ashtangi,8,32,purusakaram
Shanti/Ashtangi,8,33,sankah
